Data Element ID,Data element,DatasetID ,Date created ,Date updated ,Synonyms ,Translation of data element ,Descripton  ,Data element type ,Field property/data type for value,Field size ,Value selection/capture method ,Values/Codes for Values ,Value source 
health_personnel_category,Care Provider Type,Hospital Discharge,Dec-05,,Care giver type,Kategori pemberi rawatan,Refers to the category of the individual providing direct care to the patient,,Alphanumeric,30 characters,,Refer to lookup table Health Personnel Category,MoH
,Caries Free,Oral Health,Sep-12,,Sound permanent teeth,Tiada karies gigi kekal/bebas karies/tiada kerosakan gigi kekal,DMFX=0,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",MoH
,Caries Free Mouth,Oral Health,Sep-12,,Sound deciduous & permanent teeth,Mulut bebas karies,DMFX=0; dfx=0,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",MoH
case_category,Case Category,Forensic,Sep-12,,,Kategori kes,Category of body received,,Alphanumeric,2 characters,,Refer to lookup table for Case Category,
,Case Completion,Oral Health,Sep-12,Sep-12,Completed case,Kes selesai,,,Numeric,1 character,,"1-yes, 0=no",MoH
,Cataract Surgery,Ophthalmology,May-13,,,,Denotes removal of cataractous lens,,Alphanumeric,,,,
,Cause of Death,"Person Record, Cardiology, Neurology, Neonatology",Mar-03,,Primary cause of death,Sebab-sebab utama kematian,Cause of death as per death certificate,,Alphanumeric,80 characters,,Refer to ICD-10,WHO International Classification of Diseases and Health Related Problems 10th Revision (ICD 10)
cause_of_death_donor,Cause of Death of Donor,Ophthalmology,May-13,,,,Diagnosis resulting in the death of the donor,,Alphanumeric,,,Refer to lookup table Cause of Death of Donor,
,Cause of Death_FORENSIC,Forensic,Sep-12,,,,Cause of death issued after forensic post-mortem examination shall abide by the cause of death as defined under Section 328 of the Malaysian Criminal Procedure Code,,Alphanumeric,80 Characters,,,"Seksyen 328, Akta 594, Kanun Prosedur Jenayah"
,Cause of Death_WHO,Forensic,Sep-12,,,Sebab kematian,"All those diseases, morbid conditions or injuries which either resulted in or contributed to death and the circumstances of the accident or violence which produced any such injuries",,Alphanumeric,80 characters,,Refer to ICD-10,WHO International Classification of Diseases and Health Related Problems 10th Revision (ICD 10)
cause_of_injury,Cause of Injury,"Emergency, Nuclear Medicine",Oct-06,,,Sebab kecederaan,Denotes the various external causes of injury,,Alphanumeric,30 characters,,Refer to lookup table Cause of Injury,MoH
cause_of_death_postsurgery_colorectal_cancer,Cause of Inpatient Death Post Surgery in Patient with Colorectal Cancer,Colorectal Cancer,May-13,,,Sebab kematian pesakit dalam kanser kolorektal selepas pembedahan,The reason of inpatient death post op in patient with colorectal cancer,,Alphanumeric,3 characters,,Refer to lookup table Cause of Inpatient Death Post Surgery in Patient with Colorectal Cancer,
causes_of_cataract,Causes of Cataract,Ophthalmology,May-13,,,,Denotes the various causes of cataract,,Alphanumeric,,,Refer to lookup table Causes of Cataract,
causes_of_refracted_post_ophthalmic_surgery_visual_acuity_worse_than_6/12,Causes of Refracted Post Ophthalmic Surgery Visual Acuity Worse Than 6/12,Ophthalmology,May-13,,,,Factors causing refracted visual acuity worse than 6/12 in the operated eye,,Alphanumeric,,,Refer to lookup table Causes of Refracted Post Ophthalmic Surgery Visual Acuity Worse Than 6/12,
causes_of_traumatic_head_injury,Causes of Traumatic Head Injury,Transplant,May-13,,,,Causes that resulted in or contributed to traumatic head injury,,Alphanumeric,,,Refer to lookup table Causes of Traumatic Head Injury,
,Causes of Traumatic Injury,Transplant,May-13,,,,Causes that resulted in or contributed to traumatic injury,,Alphanumeric,,,Refer to lookup table Causes of Traumatic Injury,
causes_of_unplanned_return_to_ot,Causes of Unplanned Return to OT,Ophthalmology,May-13,,,,Denote the causes of unscheduled return to OT within 1 week of cataract operation,,Alphanumeric,,,Refer to lookup table Causes of Unplanned Return to OT,
,Central Venous Line,MNNR,May-13,,,,Presence of any of three types of catheters: (1) Umbilical catheters (2) Percutaneously inserted central catheters (3) Surgically placed central catheter that terminates at or close to the heart or in one of the great vessels,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",MNNR
,Cerebrovascular Disease,Cardiology,May-13,,,,"Indicate if the patient has a history of stroke and/or transient ischaemic attack (TIA) or documented evidence of cerebrovascular disease (CT scan, MRI) prior to this admission to the hospital",,Alphanumeric,10 characters,Select from a shortlist,"01 = Yes, 02 = No, 03 = Not Known",NCVD-ACS NCVD-PCI
,Change/Cessation of Biologic Treatment,Dermatology,May-13,,,,Whether the biologic treatment had been stopped or changed to another biologic or systemic agent,,Alphanumeric,30 characters,,,
,Chemotherapy,Radiotherapy & Oncology,May-13,,,Kimoterapi,Cancer treatment that achieves its anti-tumour effect through the use of anti-neoplastic drug that inhibit the reproduction of cancer cells by interfering with DNA synthesis and mitosis,,Alphanumeric,20 characters,,,
,Chemotherapy and Biological Therapy in Colorectal Cancer,Colorectal Cancer,May-13,,,Rawatan kemoterapi dan biologikal dalam kanser kolorektal,The chemotherapy and biological therapy given in colorectal cancer patient,,Numeric,2 characters,,,
,Chemotherapy Regime,Radiotherapy & Oncology,Sep-12,,,Rejim Kemoterapi,The chemotherapy regime administered to the patient,,Numeric,3 characters,,Refer Lookup Table (the lookup table need to be adopted from the EVIQ website),EVIQ
chest_xray,Chest X-ray Result,Dermatology,May-13,,,,Chest radiograph result of the patient,,Alphanumeric,20 characters,,Refer to lookup table Chest X-ray,
children’s_dlqi_1,Children’s DLQI - Question 1,Dermatology,May-13,,,,"Over the last week, how itchy, “scratchy”, sore or painful has your skin been?",,Alphanumeric,,,Refer to lookup table Children’s DLQI 1 to 10,
children’s_dlqi_10,Children’s DLQI - Question 10,Dermatology,May-13,,,,"Over the last week, how much of a problem has the treatment for your skin been?",,Alphanumeric,,,Refer to lookup table Children’s DLQI 1 to 10,
children’s_dlqi_2,Children’s DLQI - Question 2,Dermatology,May-13,,,,"Over the last week, how embarrassed or self-conscious, upset or sad have you been because of your skin?",,Alphanumeric,,,Refer to lookup table Children’s DLQI 1 to 10,
children’s_dlqi_3,Children’s DLQI - Question 3,Dermatology,May-13,,,,"Over the last week, how much has your skin affected your friendships?",,Alphanumeric,,,Refer to lookup table Children’s DLQI 1 to 10,
children’s_dlqi_4,Children’s DLQI - Question 4,Dermatology,May-13,,,,"Over the last week, how much have you changed or worn different or special clothes/shoes because of your skin?",,Alphanumeric,,,Refer to lookup table Children’s DLQI 1 to 10,
children’s_dlqi_5,Children’s DLQI - Question 5,Dermatology,May-13,,,,"Over the last week, how much has your skin trouble affected going out, playing, or doing hobbies?",,Alphanumeric,,,Refer to lookup table Children’s DLQI 1 to 10,
children’s_dlqi_6,Children’s DLQI - Question 6,Dermatology,May-13,,,,"Over the last week, how much have you avoided swimming or other sports because of your skin trouble?",,Alphanumeric,,,Refer to lookup table Children’s DLQI 1 to 10,
children’s_dlqi_7,Children’s DLQI - Question 7,Dermatology,May-13,,,,"Last week, if school time: over the last week, how much did your skin problem affect your school work? OR last week, if holiday time: How much over the last week, has your skin problem interfered with your enjoyment of the holiday?",,Alphanumeric,,,Refer to lookup table Children’s DLQI 1 to 10,
children’s_dlqi_8,Children’s DLQI - Question 8,Dermatology,May-13,,,,"Over the last week, how much trouble have you had because of your skin with other people calling you names, teasing, bullying, asking questions or avoiding you?",,Alphanumeric,,,Refer to lookup table Children’s DLQI 1 to 10,
children’s_dlqi_9,Children’s DLQI - Question 9,Dermatology,May-13,,,,"Over the last week, how much has your sleep been affected by your skin problem?",,Alphanumeric,,,Refer to lookup table Children’s DLQI 1 to 10,
,Chronic Angina (≥ 2 weeks ago),Cardiology,May-13,,,,Indicate if the patient has an angina for more than past 2 weeks prior to this admission to the hospital,,Alphanumeric,10 characters,Select from a shortlist,"01 = Yes, 02 = No, 03 = Not Known",NCVD-ACS
,Chronic Hypertension with Superimposed Preeclampsia,NOR,May-13,,,,Hypertension first detected before the 20th week of pregnancy with significant proteinuria after 20 weeks of gestation,,,,,,NOR
,Chronic Illness Status,Mental Health/Psychiatric,Sep-12,,,,Presence of chronic illness,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
,Chronic Lung Disease,Cardiology,May-13,,,,"Indicate if the patient has a history of chronic lung disease including chronic obstructive pulmonary disease (COPD), chronic pulmonary fibrosis, cystic fibrosis or bronchiectasis, or are receiving treatments for these conditions, prior to this admission",,Alphanumeric,10 characters,Select from a shortlist,"01 = Yes, 02 = No, 03 = Not Known",NCVD-ACS
,Chronic Renal Disease,Cardiology,May-13,,,,Indicate if the patient has documented underlying moderate to severe impairment of renal function >200μmol (micromol) serum creatinine,,Alphanumeric,10 characters,Select from a shortlist,"01 = Yes, 02 = No, 03 = Not Known",NCVD-ACS
,Chronic Renal Failure (>200 μmol/L Serum Creatinine),Cardiology,May-13,,,,Indicate if the patient has history and/or documented evidence and/or have undergone treatment for chronic renal failure. History of CRF documented by any one of the following: 1. serum creatinine >200 μmol/L 2. on dialysis,,Alphanumeric,10 characters,Select from a shortlist,"01 = Yes, 02 = No, 03 = Not Known",NCVD-PCI
citizenship_status,Citizenship Status,"Person Record, Cancer, Forensic",Mar-03,Apr-12,,Status warganegara,Citizenship status as stated in the legal document,,Alphanumeric,30 characters,,Refer to lookup table Citizenship Status,Updated version Public Sector Data Dictionary (PSDD)
,CK Reference Upper Limit,Cardiology,May-13,,,,"The upper limit of normal of total creatine kinase (CK), as defined by individual hospital laboratory standards",,Numeric,,,,NCVD-ACS
,CK-MB Reference Upper Limit,Cardiology,May-13,,,,Individual hospital laboratory standard for the value of MB subfraction of creatine kinase (CK-MB) that is the upper boundary of the normal reference,,Numeric,,,,NCVD-ACS
,Claimant of Dead Body,Forensic,Sep-12,,,,Person authorized to claim the body for the purpose of disposal,,Alphanumeric,40 characters,Type in,,
,Classical Caesarean Section,NOR,May-13,,,,A vertical incision made along the upper segment of the uterus to deliver the baby,,,,,,NOR
classification_of_malocclusion_incisor_relationship,Classification of Malocclusion - Incisal Relationship,Oral Health,Sep-12,,,Pengkelasan makoklusi - hubungan insisor,Relationship between of the upper and lower incisor,,Alphanumeric,,,Refer to lookup table Classification of Malocclusion - Incisor Relationship,British Standard Institute (BSI)
classification_of_malocclusion_molar_relationship,Classification of Malocclusion - Molar Relationship,Oral Health,Sep-12,,,Pengkelasan makoklusi - hubungan gigi geraham besar,Relationship between of the upper and lower first molars,,Alphanumeric,,,Refer to lookup table Classification of Malocclusion - Molar Relationship,Angle’s Classification
classification_of_retinoblastoma,Classification of Retinoblastoma,Ophthalmology,May-13,,,,The classification is based on the International Intraocular Retinoblastoma Classification (IIRC),,Alphanumeric,,,Refer to lookup table Classification of Retinoblastoma,
cleft_lip_and_palate,Cleft Lip and Palate,"Oral Health, Neonatology",Oct-06,,,Sumbing lelangit dan bibir,Cleft lip and palate,,Alphanumeric,,,Refer to look up table - Cleft Lip and Palate,MoH
,Clinical Diagnosis,Radiotherapy & Oncology,Sep-12,,,Diagnosis klinikal,"A clinical diagnosis made by the assessing doctor, should biopsy is not possible for the patient",FreeText Format,Alphanumeric,30 characters,,,
,Clopidogrel,Cardiology,May-13,,,,Indicate if Clopidogrel medication was given to the patient,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS NCVD-PCI
,Clopidogrel Given at Discharge,Cardiology,May-13,,,,Clopidogrel administered at discharge?,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Clopidogrel Given during Admission,Cardiology,May-13,,,,Clopidogrel administered during admission?,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",NCVD-ACS
,Closure Device,Cardiology,May-13,,,,Indicate if a vascular arterial closure device was used,,Alphanumeric,3 characters,Select from a shortlist,Refer to lookup table Closure Device,NCVD-PCI
,Cold-ischaemic Duration,Transplant,May-13,,,,Duration from cross-clamping during donor organ retrieval to time of organ transplantation,Mandatory,Numeric,5 characters,Type in,,
collision_type,Collision Type,Emergency,Oct-06,,,Jenis perlanggaran,Denotes the vehicle involved in collision,,Alphanumeric,12 characters,,Refer to lookup table Collision Type,MoH
combined_cataract_surgery,Combined Cataract Surgery,Ophthalmology,May-13,,,,Other ophthalmic surgery performed during cataract surgery,,Alphanumeric,,,Refer to lookup table Combined Cataract Surgery,
combined_surgery_with_corneal_transplant,Combined Surgery with Corneal Transplant,Ophthalmology,May-13,,,,Other ophthalmic surgery performed during the corneal transplant surgery,,Alphanumeric,,,Refer to lookup table Combined Surgery with Corneal Transplant,
common_congenital_syndrome,Common Congenital Syndrome,"MNNR, NOR",May-13,,,,"A group of symptoms that consistently occur together or a condition characterised by a set of associated physical characteristics , that may or may not be associated with chromosomal anomalies",,Alphanumeric,,Select from a shortlist,Refer to lookup table Common Congenital Syndrome,"WHO International Classification of Diseases and Health Related Problems 10th Revision (ICD 10), MNNR"
,Community Psychiatric Services,Mental Health/Psychiatric,Sep-12,,,,Patient referred to community psychiatric services,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
,Co-morbidity Diagnosis,"Hospital Discharge, Ophthalmology",Dec-05,Apr-12,Other Diagnosis,Diagnosis lain,"Co-existing morbidity eg: Principal diagnosis - Acute Myocardial Infarction, Underlying cause - Ischaemic Heart Disease, Co-morbidity - Diabetes Mellitus",,Alphanumeric,200 characters,,Refer to ICD-10,WHO International Classification of Diseases and Health Related Problems 10th Revision (ICD 10)
,Completed Anti-tuberculosis Treatment,Dermatology,May-13,,,,Whether patient has completed the required anti-TB treatment in the past,,Alphanumeric,3 characters,Select from a shortlist,"01 = Yes, 02 = No",
,Complication (baby),NOR,,May-13,,,"Complications of baby sustained during delivery eg: asphyxia, birth injury etc",,,,,,NOR
